Position,person_name,country,country_code,agency_name,data_source,scraped_time
Pres.,Roch Marc Christian KABORE,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
Prime Min.,Paul Kaba THIEBA,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Min. of Agriculture, Water, Sanitation, & Food Security",Jacob OUEDRAOGO,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
Min. of Animal Resources & Fisheries,Sommanogo KOUTOU,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Min. of Commerce, Industry, & Handicraft",Stephane SANOU,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
Min. of Communications & Relations With the Parliament,Remy Fulgence DANDJINOU,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
Min. of Culture,Tahirou BARRY,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
Min. of Development of the Digital Economy & Post,Aminata SANA-CONGO,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Min. of Economy, Finance, & Development",Hadizatou Rosine COULIBALY,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Min. of Energy, Mines, & Quarries",Alpha Oumar DISSA,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Min. of Environment, Green Economy, & Climate Change",Batio BASSIERE,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Min. of Foreign Affairs, Cooperation, & Burkinabe Living Abroad",Alpha BARRY,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
Min. of Health,Smaila OUEDRAOGO,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Min. of Higher Education, Scientific Research, & Innovation",Fliliga Michel SAWADOGO,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
Min. of Housing & Urban Development,Maurice Dieudonne BONANE,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
Min. of Infrastructure,Eric W. BOUGOUMA,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Min. of Justice & Human Rights, & Civic Promotion",Rene BAGORO,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
Min. of National Education & Literacy,Jean-Martin COULIBALY,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Min. of Public Service, Labor, & Social Security",Clement SAWADOGO,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
Min. of Sports & Recreation,Tairou BANGRE,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
Min. of State,Simon COMPAORE,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Min. of Territorial Admin., Decentralization, & Homeland Security",Simon COMPAORE,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Min. of Transportation, Urban Mobility, & Road Security",Souleymane SOULAMA,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Min. of Women, National Solidarity, & Family",Laure ZONGO-HIEN,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Min. of Youth, Training, & Professional Integration",Jean-Claude BOUDA,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Min.-Del. to the Min. of Economy, Finance, & Development in Charge of Budget",Edith Clemence YAKA,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Min.-Del. to the Min. of Foreign Affairs, Cooperation, & Burkinabe Living Abroad in Charge of Cooperation",Rita Solange AGNEKETOM,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
Ambassador to the US, Yemdaogo Eric TIARE,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22
"Permanent Representative to the UN, New York",Yemdaogo Eric TIARE,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/UV.html,2018-02-22